geo;date;values
Espagne;1999-01-01;105,8407079646018
France;1999-01-01;98,1096911608094
Italie;1999-01-01;103,4768211920530
Allemagne;1999-02-01;101,1805998723676
Espagne;1999-02-01;105,9533386967015
France;1999-02-01;98,0431309904153
Italie;1999-02-01;103,9735099337748
Allemagne;1999-03-01;101,2763241863433
Espagne;1999-03-01;105,7441673370877
France;1999-03-01;97,8966986155485
Italie;1999-03-01;104,1390728476821
Allemagne;1999-04-01;101,1167836630504
Espagne;1999-04-01;106,1464199517297
France;1999-04-01;97,5638977635783
Italie;1999-04-01;103,9735099337748
Allemagne;1999-05-01;101,1008296107211
Espagne;1999-05-01;105,8407079646018
France;1999-05-01;97,4041533546326
Italie;1999-05-01;104,3046357615894
Allemagne;1999-06-01;101,0689215060625
Espagne;1999-06-01;106,0498793242156
France;1999-06-01;97,8966986155485
Italie;1999-06-01;104,3046357615894
Allemagne;1999-07-01;100,9572431397575
Espagne;1999-07-01;106,1464199517297
France;1999-07-01;97,7236421725240
Italie;1999-07-01;105,1324503311258
Allemagne;1999-08-01;101,8028079132100
Espagne;1999-08-01;106,2590506838295
France;1999-08-01;97,6837060702875
Italie;1999-08-01;105,1324503311258
Allemagne;1999-09-01;101,4837268666241
Espagne;1999-09-01;106,3555913113435
France;1999-09-01;97,6837060702875
Italie;1999-09-01;105,1324503311258
Allemagne;1999-10-01;101,5954052329292
Espagne;1999-10-01;106,4682220434433
France;1999-10-01;97,9898828541001
Italie;1999-10-01;106,2913907284768
Allemagne;1999-11-01;101,3241863433312
Espagne;1999-11-01;106,6613032984715
France;1999-11-01;98,0830670926518
Italie;1999-11-01;106,2913907284768
Allemagne;1999-12-01;101,3720485003191
Espagne;1999-12-01;106,6613032984715
France;1999-12-01;97,8168264110756
Italie;1999-12-01;106,2913907284768
Allemagne;2000-01-01;101,8187619655393
Espagne;2000-01-01;106,9670152855994
France;2000-01-01;98,2960596379127
Italie;2000-01-01;106,2913907284768
Allemagne;2000-02-01;101,5794511805999
Espagne;2000-02-01;107,0796460176991
France;2000-02-01;98,2561235356763
Italie;2000-02-01;106,2913907284768
Allemagne;2000-03-01;101,5315890236120
Espagne;2000-03-01;107,6910699919550
France;2000-03-01;97,6570820021299
Italie;2000-03-01;106,4569536423841
Allemagne;2000-04-01;101,5954052329292
Espagne;2000-04-01;107,8037007240547
France;2000-04-01;97,3242811501597
Italie;2000-04-01;106,2913907284768
Allemagne;2000-05-01;101,5315890236120
Espagne;2000-05-01;107,9002413515688
France;2000-05-01;97,4440894568690
Italie;2000-05-01;106,6225165562914
Allemagne;2000-06-01;101,3880025526484
Espagne;2000-06-01;107,9967819790829
France;2000-06-01;97,5905218317359
Italie;2000-06-01;107,4503311258278
Allemagne;2000-07-01;101,5954052329292
Espagne;2000-07-01;107,9002413515688
France;2000-07-01;97,7768903088392
Italie;2000-07-01;107,4503311258278
Allemagne;2000-08-01;101,8028079132100
Espagne;2000-08-01;108,1094127111826
France;2000-08-01;97,9233226837061
Italie;2000-08-01;107,4503311258278
Allemagne;2000-09-01;101,3880025526484
Espagne;2000-09-01;108,6242960579244
France;2000-09-01;97,5638977635783
Italie;2000-09-01;107,4503311258278
Allemagne;2000-10-01;101,4199106573070
Espagne;2000-10-01;108,8173773129525
France;2000-10-01;98,2694355697550
Italie;2000-10-01;108,1125827814570
Allemagne;2000-11-01;101,5315890236120
Espagne;2000-11-01;108,8173773129525
France;2000-11-01;98,5489882854100
Italie;2000-11-01;108,2781456953643
Allemagne;2000-12-01;101,2922782386726
Espagne;2000-12-01;108,9300080450523
France;2000-12-01;98,6022364217252
Italie;2000-12-01;108,2781456953643
Allemagne;2001-01-01;101,3880025526484
Espagne;2001-01-01;109,2357200321802
France;2001-01-01;98,5623003194888
Italie;2001-01-01;108,2781456953643
Allemagne;2001-02-01;101,4996809189534
Espagne;2001-02-01;109,5414320193081
France;2001-02-01;98,6421725239616
Italie;2001-02-01;108,2781456953643
Allemagne;2001-03-01;101,5954052329292
Espagne;2001-03-01;109,9597747385358
France;2001-03-01;98,3493077742279
Italie;2001-03-01;108,4437086092715
Allemagne;2001-04-01;101,7868538608807
Espagne;2001-04-01;110,0563153660499
France;2001-04-01;98,6687965921193
Italie;2001-04-01;108,7748344370861
Allemagne;2001-05-01;101,8985322271857
Espagne;2001-05-01;110,1528559935639
