geo;date;values
Zone Euro;2014-01-01;100,0000000000000
Allemagne;2014-01-01;100,0000000000000
Espagne;2014-01-01;100,0000000000000
France;2014-01-01;100,0000000000000
Italie;2014-01-01;100,0000000000000
Zone Euro;2014-02-01;100,1697175415202
Allemagne;2014-02-01;100,1805488685604
Espagne;2014-02-01;99,6369000340406
France;2014-02-01;100,3664630760689
Italie;2014-02-01;99,7747747747748
Zone Euro;2014-03-01;100,2545763122803
Allemagne;2014-03-01;100,2648050072220
Espagne;2014-03-01;99,6595937819131
France;2014-03-01;100,4108828428651
Italie;2014-03-01;99,8873873873874
Zone Euro;2014-04-01;100,4364165353376
Allemagne;2014-04-01;100,4573904670197
Espagne;2014-04-01;100,9758311585158
France;2014-04-01;100,4219877845641
Italie;2014-04-01;99,8873873873874
Zone Euro;2014-05-01;100,5091526245606
Allemagne;2014-05-01;100,5777563793934
Espagne;2014-05-01;100,6921593101101
France;2014-05-01;100,5108273181566
Italie;2014-05-01;99,8873873873874
Zone Euro;2014-06-01;100,6303794399321
Allemagne;2014-06-01;100,6499759268175
Espagne;2014-06-01;101,6339498468172
France;2014-06-01;100,5441421432538
Italie;2014-06-01;99,8873873873874
Zone Euro;2014-07-01;101,0910413383440
Allemagne;2014-07-01;100,7823784304285
Espagne;2014-07-01;103,5629184159764
France;2014-07-01;100,5885619100500
Italie;2014-07-01;99,8873873873874
Zone Euro;2014-08-01;101,3092496060129
Allemagne;2014-08-01;100,8786711603274
Espagne;2014-08-01;106,0819244298196
France;2014-08-01;100,6551915602443
Italie;2014-08-01;99,8873873873874
Zone Euro;2014-09-01;101,1516547460298
Allemagne;2014-09-01;100,9629272989889
Espagne;2014-09-01;101,6793373425621
France;2014-09-01;100,6996113270405
Italie;2014-09-01;100,0000000000000
Zone Euro;2014-10-01;101,1516547460298
Allemagne;2014-10-01;101,0712566201252
Espagne;2014-10-01;100,4198343356405
France;2014-10-01;100,7662409772349
Italie;2014-10-01;100,0000000000000
Zone Euro;2014-11-01;101,2243908352528
Allemagne;2014-11-01;101,2277323062109
Espagne;2014-11-01;99,8071031430841
France;2014-11-01;100,8439755691283
Italie;2014-11-01;100,0000000000000
Zone Euro;2014-12-01;101,2971269244757
Allemagne;2014-12-01;101,2879152623977
Espagne;2014-12-01;100,0794281175536
France;2014-12-01;100,8995002776235
Italie;2014-12-01;99,8873873873874
Zone Euro;2015-01-01;101,4183537398473
Allemagne;2015-01-01;101,4203177660087
Espagne;2015-01-01;100,0680812436174
France;2015-01-01;100,9217101610217
Italie;2015-01-01;99,8873873873874
Zone Euro;2015-02-01;101,4789671475330
Allemagne;2015-02-01;101,4684641309581
Espagne;2015-02-01;100,0680812436174
France;2015-02-01;101,0327595780122
Italie;2015-02-01;100,0000000000000
Zone Euro;2015-03-01;101,5759485998303
Allemagne;2015-03-01;101,6008666345691
Espagne;2015-03-01;100,0000000000000
France;2015-03-01;101,0660744031094
Italie;2015-03-01;100,0000000000000
Zone Euro;2015-04-01;101,6729300521275
Allemagne;2015-04-01;101,7332691381801
Espagne;2015-04-01;99,9092250085102
France;2015-04-01;101,1215991116047
Italie;2015-04-01;100,0000000000000
Zone Euro;2015-05-01;101,7456661413505
Allemagne;2015-05-01;101,8175252768416
Espagne;2015-05-01;99,8978781345739
France;2015-05-01;101,1882287617990
Italie;2015-05-01;100,0000000000000
Zone Euro;2015-06-01;101,8062795490362
Allemagne;2015-06-01;101,9017814155031
Espagne;2015-06-01;99,8751843867015
France;2015-06-01;101,2104386451971
Italie;2015-06-01;100,0000000000000
Zone Euro;2015-07-01;102,0487331797794
Allemagne;2015-07-01;101,9980741454020
Espagne;2015-07-01;99,8411437648928
France;2015-07-01;101,2104386451971
Italie;2015-07-01;100,0000000000000
Zone Euro;2015-08-01;102,1214692690023
Allemagne;2015-08-01;102,0702936928262
Espagne;2015-08-01;99,8184500170203
France;2015-08-01;101,3325930038867
Italie;2015-08-01;100,0000000000000
Zone Euro;2015-09-01;102,1820826766881
Allemagne;2015-09-01;102,1425132402504
Espagne;2015-09-01;99,8184500170203
France;2015-09-01;101,3659078289839
Italie;2015-09-01;100,0000000000000
Zone Euro;2015-10-01;102,2184507212996
Allemagne;2015-10-01;102,2267693789119
Espagne;2015-10-01;99,7617156473392
France;2015-10-01;101,3659078289839
Italie;2015-10-01;100,0000000000000
Zone Euro;2015-11-01;102,2669414474482
Allemagne;2015-11-01;102,3110255175734
Espagne;2015-11-01;99,7390218994667
France;2015-11-01;101,3548028872848
Italie;2015-11-01;100,1126126126126
Zone Euro;2015-12-01;102,2790641289853
Allemagne;2015-12-01;102,3591718825229
Espagne;2015-12-01;99,7163281515942
France;2015-12-01;101,3770127706830
Italie;2015-12-01;100,1126126126126
Zone Euro;2016-01-01;102,4002909443569
Allemagne;2016-01-01;102,5276841598459
Espagne;2016-01-01;99,7163281515942
France;2016-01-01;101,3770127706830
Italie;2016-01-01;100,2252252252252
Zone Euro;2016-02-01;102,5215177597285
Allemagne;2016-02-01;102,6360134809822
Espagne;2016-02-01;99,7617156473392
France;2016-02-01;101,4547473625764
Italie;2016-02-01;100,2252252252252
Zone Euro;2016-03-01;102,5942538489514
Allemagne;2016-03-01;102,7202696196437
Espagne;2016-03-01;99,7617156473392
France;2016-03-01;101,4658523042754
Italie;2016-03-01;100,2252252252252
Zone Euro;2016-04-01;102,6791126197115
Allemagne;2016-04-01;102,8285989407800
Espagne;2016-04-01;99,7957562691479
France;2016-04-01;101,4769572459745
Italie;2016-04-01;100,2252252252252
Zone Euro;2016-05-01;102,7518487089344
Allemagne;2016-05-01;102,8887818969668
