geo;date;values
Zone Euro;1996-01-01;100,0000000000000
Allemagne;1996-01-01;100,0000000000000
Espagne;1996-01-01;100,0000000000000
France;1996-01-01;100,0000000000000
Italie;1996-01-01;100,0000000000000
Zone Euro;1996-04-01;99,8768559566533
Allemagne;1996-04-01;98,5805487639228
Espagne;1996-04-01;100,1653081000969
France;1996-04-01;99,2103426745510
Italie;1996-04-01;103,5639047494516
Zone Euro;1996-07-01;100,1677104590341
Allemagne;1996-07-01;98,7797699900389
Espagne;1996-07-01;100,3747933648749
France;1996-07-01;98,3766114518676
Italie;1996-07-01;105,6938209185082
Zone Euro;1996-10-01;99,7150094996833
Allemagne;1996-10-01;98,0406139635968
Espagne;1996-10-01;99,7107108248304
France;1996-10-01;97,6301098174606
Italie;1996-10-01;106,6977582123814
Zone Euro;1997-01-01;99,0687964722163
Allemagne;1997-01-01;96,0846237435480
Espagne;1997-01-01;98,5592544034658
France;1997-01-01;97,4180041870202
Italie;1997-01-01;108,3322436763574
Zone Euro;1997-04-01;98,5914667041963
Allemagne;1997-04-01;94,9108032237617
Espagne;1997-04-01;97,7626403693781
France;1997-04-01;97,4758511771404
Italie;1997-04-01;107,0624300803441
Zone Euro;1997-07-01;98,1927145638355
Allemagne;1997-07-01;94,1603278094721
Espagne;1997-07-01;97,7170381348686
France;1997-07-01;96,7504682851581
Italie;1997-07-01;107,8600589867643
Zone Euro;1997-10-01;99,1344732953346
Allemagne;1997-10-01;94,8881644480667
Espagne;1997-10-01;100,8422162685972
France;1997-10-01;97,8642523965182
Italie;1997-10-01;108,2508826221505
Zone Euro;1998-01-01;99,4804494171182
Allemagne;1998-01-01;96,3166711944218
Espagne;1998-01-01;98,3939463033689
France;1998-01-01;97,3344474235134
Italie;1998-01-01;109,4509581717009
Zone Euro;1998-04-01;99,6892078906012
Allemagne;1998-04-01;96,7841619125238
Espagne;1998-04-01;98,4865758422163
France;1998-04-01;97,1048958754178
Italie;1998-04-01;109,3405395981345
Zone Euro;1998-07-01;99,9296319752304
Allemagne;1998-07-01;97,3727700805940
Espagne;1998-07-01;98,3298181610899
France;1998-07-01;96,4740882212510
Italie;1998-07-01;109,6107745281786
Zone Euro;1998-10-01;100,4433185560481
Allemagne;1998-10-01;98,4639590690935
Espagne;1998-10-01;100,2508122898022
France;1998-10-01;96,1315973114923
Italie;1998-10-01;109,6311147917302
Zone Euro;1999-01-01;100,0129008045411
Allemagne;1999-01-01;97,2414651815630
Espagne;1999-01-01;99,7563130593399
France;1999-01-01;95,6045469570647
Italie;1999-01-01;110,4607069694460
Zone Euro;1999-04-01;99,8487087467455
Allemagne;1999-04-01;97,3139092637870
Espagne;1999-04-01;99,5653537023314
France;1999-04-01;95,3566312851214
Italie;1999-04-01;110,4461782097662
Zone Euro;1999-07-01;100,0422208148617
Allemagne;1999-07-01;97,7983790636602
Espagne;1999-07-01;99,5026506298809
France;1999-07-01;95,8368531237375
Italie;1999-07-01;110,0190326751805
Zone Euro;1999-10-01;100,2732624961884
Allemagne;1999-10-01;98,5680974372906
Espagne;1999-10-01;99,6921849170609
France;1999-10-01;96,1517978477247
Italie;1999-10-01;109,9798050240451
Zone Euro;2000-01-01;99,5238430323927
Allemagne;2000-01-01;95,6895771076700
Espagne;2000-01-01;102,0164738072166
France;2000-01-01;96,7100672126933
Italie;2000-01-01;110,2936262331285
Zone Euro;2000-04-01;99,8029695306453
Allemagne;2000-04-01;95,9080412931269
Espagne;2000-04-01;103,2947614433107
France;2000-04-01;95,6835126896096
Italie;2000-04-01;110,6089003181798
Zone Euro;2000-07-01;100,4538737597636
Allemagne;2000-07-01;96,3947749705696
Espagne;2000-07-01;102,5850766687568
France;2000-07-01;96,9102361626327
Italie;2000-07-01;111,9586220924320
Zone Euro;2000-10-01;101,0989139868177
Allemagne;2000-10-01;96,6505931359232
Espagne;2000-10-01;103,8804651427920
France;2000-10-01;97,1765159584236
Italie;2000-10-01;112,3857676270177
Zone Euro;2001-01-01;101,2760068491544
Allemagne;2001-01-01;96,3268586434846
Espagne;2001-01-01;104,7255315510460
France;2001-01-01;95,9093914129357
Italie;2001-01-01;113,7645469206294
Zone Euro;2001-04-01;101,7134614031384
Allemagne;2001-04-01;97,1995834465272
Espagne;2001-04-01;104,9207661175398
France;2001-04-01;96,5053072317920
Italie;2001-04-01;113,3533830216914
Zone Euro;2001-07-01;101,5586517486454
Allemagne;2001-07-01;96,8271755863443
Espagne;2001-07-01;104,6357521518554
France;2001-07-01;96,2371910236163
Italie;2001-07-01;114,4386813697715
Zone Euro;2001-10-01;101,6841413928178
Allemagne;2001-10-01;96,6234266050892
Espagne;2001-10-01;106,3258849683635
France;2001-10-01;96,0553861975245
Italie;2001-10-01;115,2275930203839
Zone Euro;2002-01-01;102,3244904182206
Allemagne;2002-01-01;97,2290138549307
Espagne;2002-01-01;107,8051074502651
France;2002-01-01;95,8506262166232
Italie;2002-01-01;116,5366342675326
Zone Euro;2002-04-01;102,5989257148219
Allemagne;2002-04-01;97,6817893688309
Espagne;2002-04-01;107,6996522829619
France;2002-04-01;96,7238403055790
Italie;2002-04-01;115,7404582370803
Zone Euro;2002-07-01;103,1501419088500
Allemagne;2002-07-01;98,3032237616590
Espagne;2002-07-01;108,0345436926409
France;2002-07-01;96,7265949241562
Italie;2002-07-01;116,3172499963678
Zone Euro;2002-10-01;102,6974409494992
Allemagne;2002-10-01;97,9738295752966
Espagne;2002-10-01;108,7385281878812
France;2002-10-01;95,8827634333566
Italie;2002-10-01;116,2765694692644
Zone Euro;2003-01-01;102,9906410527057
Allemagne;2003-01-01;98,8295752965680
Espagne;2003-01-01;108,9294875448897
France;2003-01-01;94,4044514636207
Italie;2003-01-01;117,5289485536620
Zone Euro;2003-04-01;102,2834424037717
Allemagne;2003-04-01;97,9228923299828
Espagne;2003-04-01;110,5626175682609
France;2003-04-01;93,4329893120799
Italie;2003-04-01;118,0142091269668
Zone Euro;2003-07-01;101,7204982056154
Allemagne;2003-07-01;97,4078601829213
Espagne;2003-07-01;109,8942598187311
France;2003-07-01;93,3485143423807
Italie;2003-07-01;117,6088567319008
Zone Euro;2003-10-01;101,8448150493749
Allemagne;2003-10-01;97,2799511002445
Espagne;2003-10-01;110,7706777632104
France;2003-10-01;92,2668674477541
Italie;2003-10-01;118,4616949251043
Zone Euro;2004-01-01;101,7932118312106
Allemagne;2004-01-01;97,1531739563524
Espagne;2004-01-01;112,7215983583196
France;2004-01-01;91,9170308884563
Italie;2004-01-01;117,8819974138808
Zone Euro;2004-04-01;101,9738230947857
Allemagne;2004-04-01;97,1746807932627
Espagne;2004-04-01;111,8808071595508
France;2004-04-01;91,7333896499798
Italie;2004-04-01;118,7493643667640
Zone Euro;2004-07-01;102,5109656838599
